Button,Press 1,Release 1,Press 2,Release 2,Press 3,Release 3
Right Up,0x0001E6,0x000166,0x0001E7,0x000167,0x0001E8,0x000168
Right Down,0x8000DE,0x80005E,0x8000DF,0x80005F,0x8000E0,0x800060
Right Steer,0x0008B6,0x000836,0x0008B7,0x000837,0x0008B8,0x000838
Left Up,0x0200C5,0x020045,0x0200C6,0x020046,0x0200C7,0x020047
Left Down,0x0400AA,0x04002A,0x0400AB,0x04002B,0x0400AC,0x04002C
Left Steer,0x20009C,0x20001C,0x20009D,0x20001D,0x20009E,0x20001E
Right Shift Up,0x000493,0x000413,0x000494,0x000414,0x000495,0x000415
Right Shift Down,0x0002A3,0x000223,0x0002A4,0x000224,0x0002A5,0x000225
Left Shift Up,0x10008C,0x10000C,0x10008D,0x10000D,0x10008E,0x10000E
Left Shift Down,0x080084,0x080004,0x080085,0x080005,0x080086,0x080006
Right Brake,0x40008F,0x40000F,0x400090,0x400010,0x400091,0x400011
Left Brake,0x010084,0x010004,0x010085,0x010005,0x010086,0x010006
